"Feature_ID"	"Taxon"	"Confidence"
"51"	"d5d7adf67ec0c1f0e9253d969d975d6f"	"d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Sva1033; f__Sva1033; g__Sva1033"	0.999994090224407
"52"	"6dace17d88f0d96f0d38ed0942e607df"	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Thermotaleaceae; g__Anaerosolibacter"	0.72391398855513
"53"	"efea556622dc54d9a700ffe8c4eb3d69"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__uncultured; s__uncultured_Flammeovirgaceae"	0.967870099483285
"54"	"b31f4f6ab50acd678b9f8cd6fcc29f3c"	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Fusibacteraceae; g__Fusibacter"	0.999996024678605
"55"	"23f6f9ce0c02baeb0cadd47da5d88d5a"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Woeseiaceae; g__Woeseia"	0.817508642694746
"56"	"e5e2af25aff0a87b52b57402a54038cb"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__uncultured"	0.999938527850479
"57"	"00faab66ee0d570ea0c3ce1ba59d15d6"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Erythrobacter; s__Erythrobacter_seohaensis"	0.913916509889906
"58"	"78e7eb9294077f798c37df1df0a2c903"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__uncultured; s__uncultured_deep-sea"	0.927086043195605
"59"	"3bbfeb2876d9790633ad78f94e2598c7"	"d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Sva1033; f__Sva1033; g__Sva1033"	0.999879898367039
"60"	"781979a3298d7ac0d570312eb67c2f57"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae"	0.999998820119125
"61"	"f3e3fa166ed54017216730a01f4886fb"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Lutimonas"	0.734747288724031
"62"	"efc3631b3e371354f59ec758f0681fd2"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Erythrobacter"	0.992898813757276
"63"	"f026792b9828913ed5864ca98149cd50"	"d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfobulbaceae; g__uncultured"	0.999996953019366
"64"	"27d8b4f760881e4611b30500daddfa86"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae"	0.999383182588471
"65"	"5f2bcc3fd49550464717db79139ace72"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria"	0.999978431244516
"66"	"b4d5f256ff64a429d24e711f8033595c"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__uncultured; s__uncultured_organism"	0.984936710576774
"67"	"7b65d52c5ac44c4b41049916b7acce09"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kiloniellales; f__Kiloniellaceae; g__Limibacillus; s__uncultured_bacterium"	0.969444820496961
"68"	"3d066ede393a9ed7490015e86949c5ce"	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Thermotaleaceae; g__Crassaminicella"	0.732451821084124
"69"	"0bfe801254ada8f1242d74b620202428"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae"	0.999999999999332
"70"	"51dd8abf763742d0f88fadc60f6ef8d8"	"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured; s__uncultured_bacterium"	0.740147362161239
"71"	"4730261ecdcf47f4176a3dd3d645b264"	"d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Sandaracinaceae; g__uncultured"	0.999999999955797
"72"	"00caa8f55782789240d7469697b80ffe"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Ulvibacter"	0.997478881291779
