"ASVID"	"AS1A1"	"AS1A2"	"AS1A3"	"AS1B1"	"AS1B2"	"AS1B3"	"AS1C1"	"AS1C2"	"AS1C3"	"AS2A1"	"AS2A2"	"AS2A3"	"AS2B1"	"AS2B2"	"AS2B3"	"AS2C1"	"AS2C2"	"AS2C3"	"S3C1"	"S3C2"	"S3C3"
"87"	"106a2752d4dc2bbe19a87c8239ce4200"	1	4	9	23	16	26	0	3	0	10	11	4	10	5	11	0	6	2	0	0	0
"88"	"56cd6df1dad2550a5730eca902beb481"	2	0	2	5	0	1	6	8	13	4	5	1	2	0	2	34	21	27	0	4	0
"89"	"dbe497d3775084ddd0e054922e0ec2e8"	9	2	14	16	12	11	0	5	0	26	13	17	12	0	0	0	0	0	0	0	0
"90"	"038b6f5791aa7e6c7529ca97ab4c5192"	21	0	13	0	0	0	8	12	14	9	16	31	10	1	0	0	0	0	0	0	0
"91"	"efea556622dc54d9a700ffe8c4eb3d69"	16	8	12	0	13	8	4	1	2	15	14	12	10	4	7	4	3	0	0	0	0
"92"	"66cd5d01be0de374b884ab63551225d1"	11	5	2	16	15	19	1	1	8	9	5	11	11	8	8	0	0	3	0	0	0
"93"	"f65bea507b1abf25d534a5bc2d69ece4"	11	10	9	8	7	4	0	0	1	24	8	8	15	4	21	0	0	1	0	0	0
"94"	"04ac9019baad6de19c60e502aaca5c8f"	13	0	15	20	8	23	3	7	0	6	5	8	3	10	8	0	1	0	0	0	0
"95"	"c8fb0768f84d928291737df55028dbee"	4	0	0	2	0	2	23	16	38	0	2	3	2	0	0	18	7	5	3	5	0
"96"	"1d5f61fcbe1f74aed3b116845c53226e"	0	0	0	0	56	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"97"	"8164272f5c9dc59da3748e35724f8da9"	5	0	0	9	0	3	0	3	4	3	0	3	8	5	0	29	17	30	0	9	1
"98"	"a56692c067f311e3d32caddc474d7adc"	5	5	0	12	5	14	5	6	0	7	12	12	0	5	0	16	11	8	0	6	0
"99"	"fc713bdf6ea7d0ddef55ccfa53eda89b"	3	2	3	5	2	12	6	3	8	2	3	3	5	0	4	13	13	14	8	16	3
"100"	"97c7f087f1465c19870096a38e21bde4"	10	3	8	15	10	5	4	0	5	8	4	7	0	10	6	7	12	12	0	0	0
"101"	"bea5524594cad1f6864814bac47b1395"	4	3	0	6	4	0	5	9	13	9	2	13	8	0	7	5	13	7	6	11	1
"102"	"3e5fa407a75492975a306e374c71df97"	4	1	10	18	15	10	8	8	17	4	10	12	4	0	0	2	0	2	0	0	0
"103"	"1174ff039e702413a379b47cf57c3956"	8	0	13	13	5	15	0	0	3	0	14	15	13	7	11	2	3	2	0	0	0
"104"	"243dc0c83c9eaba4ea4720504b493a0d"	2	6	0	5	7	19	0	9	10	12	7	3	5	0	6	12	15	5	0	0	0
"105"	"06ce1540612bb89a5d1424b11141a816"	15	3	3	0	13	8	0	4	3	16	11	10	10	13	8	5	0	0	0	0	0
"106"	"7b65d52c5ac44c4b41049916b7acce09"	9	7	12	7	6	0	2	0	0	19	13	5	21	6	12	0	2	0	0	0	0
"107"	"4748418d39dd6931a5506cd8da1e34f9"	16	5	4	0	0	0	0	0	3	45	18	22	6	2	0	0	0	0	0	0	0
"108"	"5e34e5d7a076b0eccd82017163a87175"	0	6	2	20	13	8	3	4	0	11	3	9	9	2	4	13	0	11	0	0	0
"109"	"0d8c11b070a5272d07a8750e739d5c4b"	8	9	7	8	13	0	5	5	3	14	0	10	8	11	15	0	2	0	0	0	0
"110"	"0d9044543153753e835dc7ca41573535"	7	5	11	10	15	8	7	5	4	5	6	7	6	3	5	1	6	7	0	0	0
"111"	"e92006c6a15be05486c48c6eb5312c3e"	20	9	3	12	9	15	0	0	0	16	11	8	4	0	3	0	3	4	0	0	0
"112"	"8734482ae1a16ae471fae6622f99bc6d"	7	3	6	17	22	22	3	0	0	0	4	3	6	8	11	0	2	3	0	0	0
"113"	"1cd1328d453fb4df67d0e40c152b1138"	0	0	4	0	0	0	14	13	18	4	10	0	4	0	0	14	0	21	0	14	0
"114"	"8f79797c2a78f7d1f5dfde00f766ac9a"	1	3	0	0	0	0	4	10	15	0	0	2	0	0	0	18	8	20	7	19	9
"115"	"0714e6a1ade3a115ae93665477742284"	27	7	29	14	0	0	1	4	0	0	17	12	0	0	0	0	1	2	0	0	0
"116"	"8d306275bd6edd8386af7f4cd2a7ec42"	0	2	0	2	2	0	9	19	20	0	0	1	2	1	0	15	8	10	4	13	4
"117"	"a11618c7487f3fc6d1fa56d340d34dbe"	5	0	0	10	6	3	5	6	7	2	6	12	6	3	0	10	5	19	0	5	1
"118"	"a7ad7a4df6cc3215331095c6f5e8f354"	1	0	3	0	4	0	0	8	11	1	3	2	2	0	0	24	23	3	0	18	6
"119"	"d02594858634713f2f23701edc5549a4"	4	0	0	0	2	2	7	11	16	0	0	5	0	0	3	13	13	18	0	13	1
"120"	"12710ea3d90834b51cd50b583f6ab2f1"	17	0	0	5	0	0	4	0	0	0	0	0	0	0	0	15	12	20	7	20	7
"121"	"0b5c2351c02ea37713a00e2ac33846ea"	0	4	0	0	0	6	18	17	11	0	10	0	0	2	0	11	14	9	4	0	0
"122"	"b83fdce779a86737f74339ff513cddd8"	9	4	12	4	3	0	2	4	5	6	0	11	22	6	15	0	0	3	0	0	0
"123"	"9aafdfce128e95895f7f4f8a3cc53b59"	4	1	16	0	0	0	2	0	0	13	15	12	15	14	14	0	0	0	0	0	0
"124"	"ba3708f6b0e6acc529280433715b0a92"	4	0	0	0	6	6	26	18	30	0	3	0	0	0	3	3	4	2	0	0	0
"125"	"b724535c3f042ab6c8197807b2b797f6"	13	5	7	14	9	12	0	0	0	6	0	13	16	6	4	0	0	0	0	0	0
"126"	"eec0ccd0238350725cf24a390594e31b"	9	0	15	11	0	4	4	2	10	13	7	12	5	0	0	3	3	0	3	3	0
"127"	"edc797d57f0b7922ec0983016a58b721"	13	6	8	17	5	10	0	0	3	12	7	8	0	5	0	2	3	5	0	0	0
"128"	"358c217f63cff40c06f07d2fbfe45a69"	6	0	5	13	10	13	0	4	0	6	8	11	6	0	8	5	2	7	0	0	0
"129"	"510f4c68310c9ffc46b20b0ffc47d15b"	5	3	3	12	6	11	8	16	8	0	0	6	3	0	5	3	4	7	0	4	0
"130"	"cfaae4db8e665efd5f546b111641d319"	5	12	2	9	4	10	0	4	4	0	1	7	11	9	8	0	9	5	0	2	2
"131"	"dcdae05fec1cfb0e89154d45649816fc"	10	6	9	11	16	8	0	0	0	20	3	0	9	0	11	0	0	0	0	0	0
"132"	"b9050ac8a84d15a70096362146fccf0e"	14	0	9	9	7	15	0	3	0	5	0	12	10	9	10	0	0	0	0	0	0
"133"	"3e692ab05032b5a23108bb24a600ae5e"	3	5	5	17	5	16	0	1	3	6	3	7	9	3	5	9	0	4	0	0	0
"134"	"e66dbd0f041dc43e65694fed0711dfde"	0	1	0	0	1	0	8	4	6	0	1	2	0	2	0	25	12	19	4	15	0
"135"	"90963bab0d5fd287e0bd582a659b56a8"	5	0	14	12	3	2	0	0	3	6	6	9	10	0	10	3	0	12	0	5	0
"136"	"c6859bf8cedabcecc01b0efe3f6df418"	3	0	5	12	11	12	0	2	0	11	11	10	3	5	5	2	0	7	0	0	0
"137"	"04d7abc3d09aa4066cca4cc042229a24"	8	7	10	9	5	9	2	0	0	6	4	14	7	7	10	0	0	0	0	0	0
"138"	"bfcf7535a7f2cbad615794c80fb165f6"	4	0	10	10	15	7	3	4	4	7	0	0	14	0	7	6	1	6	0	0	0
"139"	"00397dc5390fdfe20e672582a84c2a5c"	0	0	0	3	1	2	0	5	1	3	0	3	0	0	0	13	19	26	0	19	2
"140"	"5287478641767c4679e2cf15a20138c8"	8	3	0	10	0	12	0	0	4	21	6	9	11	0	4	0	2	4	0	2	1
"141"	"4b28997a6f295f4b93878e21b40332b1"	0	2	0	0	0	0	5	2	10	2	2	4	0	2	0	19	14	33	0	2	0
